,DATE,POSITIVE,NEUTRAL,NEGATIVE
145,2014-05-28,13,43,9
146,2014-05-29,23,33,5
147,2014-05-30,29,46,25
148,2014-05-31,10,14,3
149,2014-06-01,5,7,2
150,2014-06-02,29,90,11
151,2014-06-03,7,26,5
152,2014-06-04,9,19,4
153,2014-06-05,21,15,1
154,2014-06-06,29,17,4
155,2014-06-07,8,15,2
156,2014-06-08,2,5,1
157,2014-06-09,18,20,8
158,2014-06-10,6,27,5
159,2014-06-11,46,14,4
160,2014-06-12,10,12,2
161,2014-06-13,8,18,4
162,2014-06-14,1,12,0
163,2014-06-15,3,7,0
164,2014-06-16,22,5,3
165,2014-06-18,18,5,6
166,2014-06-19,24,7,6
167,2014-06-20,17,10,1
168,2014-06-21,1,4,1
169,2014-06-22,0,2,2
170,2014-06-23,8,82,1
171,2014-06-24,31,8,1
172,2014-06-25,7,7,3
173,2014-06-26,6,9,2
174,2014-06-27,5,5,2
175,2014-06-28,1,6,0
176,2014-06-29,4,6,3
177,2014-06-30,25,16,3
178,2014-07-01,12,4,5
179,2014-07-02,17,18,4
180,2014-07-03,22,11,4
181,2014-07-04,10,11,0
182,2014-07-05,2,4,1
183,2014-07-06,9,9,0
184,2014-07-07,17,23,6
185,2014-07-08,13,5,5
186,2014-07-09,5,7,6
187,2014-07-10,8,78,1
188,2014-07-11,10,14,3
189,2014-07-12,2,5,1
190,2014-07-13,4,4,0
191,2014-07-14,12,13,4
192,2014-07-15,8,18,5
193,2014-07-16,14,22,5
194,2014-07-17,14,35,5
195,2014-07-18,5,13,0
196,2014-07-19,5,5,2
197,2014-07-20,4,10,0
198,2014-07-21,15,25,0
199,2014-07-22,23,36,9
200,2014-07-23,34,30,7
201,2014-07-24,13,29,6
202,2014-07-25,18,15,6
203,2014-07-26,7,0,2
204,2014-07-27,2,6,1
205,2014-07-28,4,14,1
206,2014-07-29,6,9,1
207,2014-07-30,2,56,0
208,2014-07-31,10,18,5
209,2014-08-01,5,29,4
210,2014-08-02,5,25,0
211,2014-08-03,3,4,1
212,2014-08-04,3,8,3
213,2014-08-07,1,1,1
214,2014-08-08,4,5,2
215,2014-08-09,0,2,2
216,2014-08-10,0,4,0
217,2014-08-11,2,4,0
218,2014-08-12,4,6,1
219,2014-08-13,5,11,1
220,2014-08-14,3,6,2
221,2014-08-15,2,18,2
222,2014-08-16,1,6,1
223,2014-08-17,2,4,0
224,2014-08-18,4,6,1
225,2014-08-19,15,23,7
226,2014-08-20,2,15,7
227,2014-08-21,3,7,0
228,2014-08-22,4,5,2
229,2014-08-23,15,2,0
230,2014-08-24,1,7,1
231,2014-08-25,4,8,3
232,2014-08-26,2,5,3
233,2014-08-27,8,10,5
234,2014-08-28,10,12,2
235,2014-08-29,6,10,5
236,2014-08-30,1,6,3
237,2014-08-31,6,10,0
238,2014-09-01,4,7,2
239,2014-09-02,6,17,4
240,2014-09-03,9,29,13
241,2014-09-04,13,11,9
242,2014-09-05,7,6,6
243,2014-09-06,5,3,1
244,2014-09-07,3,3,0
245,2014-09-08,3,15,7
246,2014-09-09,56,104,20
247,2014-09-10,51,54,16
248,2014-09-11,12,18,7
249,2014-09-12,13,22,6
250,2014-09-13,4,5,5
251,2014-09-14,2,3,1
252,2014-09-15,5,17,3
253,2014-09-16,11,17,3
254,2014-09-17,21,9,3
255,2014-09-18,4,14,5
256,2014-09-19,7,10,4
257,2014-09-20,4,6,1
258,2014-09-21,1,4,0
259,2014-09-22,9,31,4
260,2014-09-23,0,7,1
261,2014-09-29,2,9,3
262,2014-09-30,4,5,4
263,2014-10-01,7,6,3
264,2014-10-02,5,6,5
265,2014-10-03,5,3,4
266,2014-10-04,1,6,0
267,2014-10-05,1,1,2
268,2014-10-06,7,6,3
269,2014-10-07,6,7,2
270,2014-10-08,6,16,5
271,2014-10-09,1,4,0
272,2014-10-10,5,8,2
273,2014-10-11,3,1,0
274,2014-10-12,1,2,1
275,2014-10-13,10,9,2
276,2014-10-14,4,9,3
277,2014-10-15,2,9,5
278,2014-10-16,7,16,6
279,2014-10-17,8,6,1
280,2014-10-18,6,8,1
281,2014-10-19,11,7,1
282,2014-10-20,22,50,15
283,2014-10-21,17,59,13
284,2014-10-22,8,13,5
285,2014-10-23,2,4,2
286,2014-10-24,1,4,3
287,2014-10-25,2,4,3
288,2014-10-26,65,2,3
289,2014-10-27,4,8,4
290,2014-10-28,14,40,9
291,2014-10-29,8,9,20
292,2014-10-30,11,7,10
293,2014-10-31,16,7,1
294,2014-11-01,4,4,0
295,2014-11-02,5,3,0
296,2014-11-03,5,11,2
297,2014-11-04,2,3,1
298,2014-11-05,1,6,1
299,2014-11-06,9,8,3
300,2014-11-07,3,1,4
301,2014-11-08,0,6,0
302,2014-11-09,2,1,3
303,2014-11-14,0,2,2
304,2014-11-24,9,11,1
305,2014-11-25,21,40,8
306,2014-11-26,6,12,0
307,2014-11-27,1,4,4
308,2014-11-28,3,8,3
309,2014-11-29,4,3,1
310,2014-11-30,2,2,1
311,2014-12-01,7,10,12
312,2014-12-02,13,32,17
313,2014-12-03,5,27,5
314,2014-12-04,5,20,1
315,2014-12-05,3,8,6
316,2014-12-06,17,9,14
317,2014-12-07,9,6,2
318,2014-12-08,23,22,3
319,2014-12-09,13,11,3
320,2014-12-10,18,12,6
321,2014-12-11,8,18,1
322,2014-12-12,13,2,0
323,2014-12-13,2,3,0
324,2014-12-14,1,8,0
325,2014-12-15,18,13,2
326,2014-12-16,31,14,2
327,2014-12-17,16,34,7
328,2014-12-18,17,25,2
329,2014-12-19,10,3,2
330,2014-12-21,7,4,0
331,2014-12-22,9,8,1
332,2014-12-23,9,8,1
333,2014-12-24,7,4,2
334,2014-12-25,2,2,1
335,2014-12-26,13,3,0
336,2014-12-27,16,3,1
337,2014-12-28,7,3,1
338,2014-12-29,18,7,0
339,2014-12-30,17,25,2
340,2014-12-31,19,6,1
341,2015-01-01,13,3,0
342,2015-01-02,15,29,6
343,2015-01-03,5,0,2
344,2015-01-04,4,2,1
345,2015-01-05,7,12,5
346,2015-01-06,7,13,3
347,2015-01-07,6,37,4
348,2015-01-08,15,9,3
349,2015-01-09,8,12,6
350,2015-01-10,4,7,1
351,2015-01-11,0,13,1
352,2015-01-12,3,9,0
353,2015-01-13,14,13,2
354,2015-01-14,7,5,3
355,2015-01-15,5,4,3
356,2015-01-16,2,11,9
357,2015-01-17,3,4,0
358,2015-01-18,1,3,0
359,2015-01-19,2,6,0
360,2015-01-20,3,13,2
361,2015-01-21,1,2,0
362,2015-01-22,4,10,1
363,2015-01-23,9,17,4
364,2015-01-24,3,1,0
365,2015-01-25,6,2,1
366,2015-01-26,7,12,2
367,2015-01-27,35,51,14
368,2015-01-28,53,66,23
369,2015-01-29,10,22,4
370,2015-01-30,13,8,5
371,2015-01-31,6,4,0
372,2015-02-01,7,11,1
373,2015-02-02,11,11,4
374,2015-02-03,10,8,4
375,2015-02-04,9,12,4
376,2015-02-05,7,15,6
377,2015-02-06,11,12,0
378,2015-02-07,5,2,1
379,2015-02-08,3,4,0
380,2015-02-09,7,16,3
381,2015-02-10,20,29,7
382,2015-02-11,25,29,9
383,2015-02-12,27,23,3
384,2015-02-13,18,17,3
385,2015-02-14,14,13,2
386,2015-02-15,4,12,1
387,2015-02-16,3,7,4
388,2015-02-17,4,28,2
389,2015-02-18,10,8,0
390,2015-02-19,8,15,2
391,2015-02-20,4,12,2
392,2015-02-21,5,6,1
393,2015-02-22,6,10,0
394,2015-02-23,16,24,6
395,2015-02-24,7,19,6
396,2015-02-25,8,18,7
397,2015-02-26,11,29,5
398,2015-02-27,9,16,3
399,2015-02-28,4,8,2
400,2015-03-01,3,5,2
401,2015-03-02,14,18,1
402,2015-03-03,10,12,4
403,2015-03-04,13,13,2
404,2015-03-05,5,19,4
405,2015-03-06,19,51,10
406,2015-03-07,7,4,1
407,2015-03-09,31,27,16
408,2015-03-10,15,35,18
409,2015-03-11,17,18,3
410,2015-03-12,7,11,5
411,2015-03-13,22,9,1
412,2015-03-14,4,9,2
413,2015-03-15,2,10,3
414,2015-03-16,12,7,3
415,2015-03-17,9,21,6
416,2015-03-18,8,16,4
417,2015-03-19,12,19,3
418,2015-03-20,12,17,4
419,2015-03-21,11,21,1
420,2015-03-22,6,5,2
421,2015-03-23,4,12,1
422,2015-03-24,10,7,4
423,2015-03-25,12,17,3
424,2015-03-26,10,11,3
425,2015-03-27,7,7,2
426,2015-03-28,11,10,4
427,2015-03-29,9,5,2
428,2015-03-30,20,13,3
429,2015-03-31,6,20,7
430,2015-04-01,8,16,20
431,2015-04-02,8,11,23
432,2015-04-03,6,5,29
433,2015-04-04,5,18,45
434,2015-04-05,23,16,28
435,2015-04-06,19,18,3
436,2015-04-07,8,8,2
437,2015-04-08,9,9,3
438,2015-04-09,15,16,2
439,2015-04-10,14,21,8
440,2015-04-11,6,4,2
441,2015-04-12,5,7,1
442,2015-04-13,29,18,5
443,2015-04-14,6,11,1
444,2015-04-15,7,13,4
445,2015-04-16,3,10,3
446,2015-04-17,7,6,8
447,2015-04-18,8,4,1
448,2015-04-19,10,5,2
449,2015-04-20,8,9,3
450,2015-04-21,5,13,3
451,2015-04-22,4,14,2
452,2015-04-23,5,7,1
453,2015-04-24,5,11,1
454,2015-04-25,11,7,1
455,2015-04-26,6,7,1
456,2015-04-27,46,71,9
457,2015-04-28,37,49,13
458,2015-04-29,13,6,1
459,2015-04-30,12,12,7
460,2015-05-01,10,16,8
461,2015-05-02,1,7,5
462,2015-05-03,5,17,2
463,2015-05-04,7,22,6
464,2015-05-05,10,19,2
465,2015-05-06,7,13,6
466,2015-05-07,16,17,10
467,2015-05-08,5,10,1
468,2015-05-09,4,6,1
469,2015-05-10,2,7,4
470,2015-05-11,8,14,2
471,2015-05-12,9,13,4
472,2015-05-13,7,11,4
473,2015-05-14,10,18,3
474,2015-05-15,6,14,6
475,2015-05-16,5,13,0
476,2015-05-17,6,15,2
477,2015-05-18,8,18,2
478,2015-05-19,3,10,0
479,2015-05-20,1,13,3
480,2015-05-21,9,14,0
481,2015-05-22,12,8,3
482,2015-05-23,1,10,4
483,2015-05-24,2,7,1
484,2015-05-25,3,9,1
485,2015-05-26,11,8,7
486,2015-05-27,20,5,2
487,2015-05-28,8,18,0
488,2015-05-29,2,6,1
489,2015-05-30,7,6,2
490,2015-05-31,2,12,2
491,2015-06-01,7,14,2
492,2015-06-02,2,2,1
493,2015-06-03,2,8,2
494,2015-06-04,3,5,0
495,2015-06-06,1,5,1
496,2015-06-07,4,5,0
497,2015-06-08,11,21,4
498,2015-06-09,8,23,8
499,2015-06-10,10,21,3
500,2015-06-11,8,15,7
501,2015-06-12,10,17,4
502,2015-06-13,2,11,0
503,2015-06-14,5,13,3
504,2015-06-15,8,13,2
505,2015-06-16,9,9,3
506,2015-06-17,8,8,5
507,2015-06-18,7,16,2
508,2015-06-19,7,15,7
509,2015-06-20,7,8,1
510,2015-06-21,3,9,3
511,2015-06-22,2,2,0
512,2015-06-24,5,13,2
513,2015-06-25,7,35,8
514,2015-06-26,3,3,1
515,2015-06-27,2,4,0
516,2015-06-28,6,10,3
517,2015-06-29,10,13,2
518,2015-06-30,2,1,1
519,2015-07-01,11,12,0
520,2015-07-02,11,6,4
521,2015-07-03,3,10,3
522,2015-07-04,2,7,1
523,2015-07-05,3,7,2
524,2015-07-06,20,8,3
525,2015-07-07,3,5,0
526,2015-07-09,13,13,7
527,2015-07-10,13,17,7
528,2015-07-11,7,14,2
529,2015-07-12,5,10,2
530,2015-07-13,12,16,3
531,2015-07-14,6,6,7
532,2015-07-15,10,7,3
533,2015-07-16,13,17,3
534,2015-07-17,8,22,5
535,2015-07-18,6,11,2
536,2015-07-19,4,8,2
537,2015-07-20,12,26,4
538,2015-07-21,40,66,23
539,2015-07-22,27,82,14
540,2015-07-23,18,28,9
541,2015-07-24,8,14,5
542,2015-07-25,8,12,1
543,2015-07-26,7,3,0
544,2015-07-27,3,5,2
545,2015-07-28,3,10,0
546,2015-07-29,8,10,0
547,2015-07-30,20,12,2
548,2015-07-31,7,4,1
549,2015-08-01,1,7,1
550,2015-08-02,8,5,1
551,2015-08-03,9,22,8
552,2015-08-04,3,7,5
553,2015-08-05,24,14,17
554,2015-08-06,10,14,5
555,2015-08-07,9,13,4
556,2015-08-08,9,3,2
557,2015-08-09,1,4,0
558,2015-08-10,14,7,4
559,2015-08-11,8,18,7
560,2015-08-12,18,26,6
561,2015-08-13,12,22,10
562,2015-08-14,0,3,0
563,2015-08-16,0,2,0
564,2015-08-17,8,8,5
565,2015-08-18,9,7,2
566,2015-08-19,8,13,4
567,2015-08-20,8,12,4
568,2015-08-21,12,15,11
569,2015-08-22,4,5,5
570,2015-08-23,2,6,6
571,2015-08-24,27,22,13
572,2015-08-25,13,18,15
573,2015-08-26,9,41,5
574,2015-08-27,10,25,7
575,2015-08-28,3,11,0
576,2015-08-29,1,5,3
577,2015-08-30,5,8,1
578,2015-08-31,6,13,2
579,2015-09-01,8,34,1
580,2015-09-02,13,12,1
581,2015-09-03,2,1,0
582,2015-09-04,3,5,19
583,2015-09-05,7,8,1
584,2015-09-06,17,15,1
585,2015-09-07,4,10,1
586,2015-09-08,13,24,6
587,2015-09-09,46,70,12
588,2015-09-10,17,30,14
589,2015-09-11,19,21,2
590,2015-09-12,5,10,2
591,2015-09-13,7,6,1
592,2015-09-14,16,18,5
593,2015-09-15,9,13,2
594,2015-09-16,10,5,0
595,2015-09-19,11,6,1
596,2015-09-20,6,6,0
597,2015-09-21,12,36,8
598,2015-09-22,11,29,12
599,2015-09-23,12,17,6
600,2015-09-24,10,11,6
601,2015-09-25,14,26,9
602,2015-09-26,4,8,2
603,2015-09-27,7,15,5
604,2015-09-28,14,19,21
605,2015-09-29,9,36,2
606,2015-09-30,9,19,10
607,2015-10-01,10,14,6
608,2015-10-02,9,16,3
609,2015-10-03,5,9,0
610,2015-10-04,2,4,0
611,2015-10-05,6,12,4
612,2015-10-06,34,24,3
613,2015-10-07,6,31,5
614,2015-10-08,4,26,6
615,2015-10-09,11,10,3
616,2015-10-10,19,6,1
617,2015-10-11,16,6,1
618,2015-10-12,7,13,3
619,2015-10-13,11,17,3
620,2015-10-14,21,13,18
621,2015-10-15,11,19,5
622,2015-10-16,3,14,4
623,2015-10-17,5,7,0
624,2015-10-18,9,6,2
625,2015-10-19,5,10,7
626,2015-10-20,11,36,10
627,2015-10-21,6,18,3
628,2015-10-22,7,16,1
629,2015-10-23,15,10,3
630,2015-10-24,3,6,3
631,2015-10-25,5,5,1
632,2015-10-26,13,22,8
633,2015-10-27,31,36,16
634,2015-10-28,44,42,9
635,2015-10-29,18,20,5
636,2015-10-30,59,24,3
637,2015-10-31,11,17,0
638,2015-11-01,2,7,0
639,2015-11-02,9,7,5
640,2015-11-03,5,16,4
641,2015-11-04,6,17,2
642,2015-11-05,14,16,2
643,2015-11-06,8,11,3
644,2015-11-07,1,10,1
645,2015-11-08,2,16,1
646,2015-11-09,8,9,7
647,2015-11-10,8,13,5
648,2015-11-11,12,14,4
649,2015-11-12,10,18,4
650,2015-11-13,7,11,11
651,2015-11-14,5,4,0
652,2015-11-15,1,4,1
653,2015-11-16,11,17,7
654,2015-11-17,20,14,1
655,2015-11-18,21,29,2
656,2015-11-19,16,35,7
657,2015-11-20,60,16,5
658,2015-11-21,4,3,1
659,2015-11-22,2,3,2
660,2015-11-23,14,15,6
661,2015-11-24,15,12,9
662,2015-11-25,4,8,4
663,2015-11-26,5,5,1
664,2015-11-28,5,5,1
665,2015-11-29,7,10,2
666,2015-11-30,1,1,1
667,2015-12-01,8,12,3
668,2015-12-02,6,17,5
669,2015-12-03,10,9,3
670,2015-12-04,8,21,4
671,2015-12-05,5,5,1
672,2015-12-06,10,8,3
673,2015-12-07,1,3,3
674,2015-12-08,3,13,0
675,2015-12-09,7,15,3
676,2015-12-10,9,14,3
677,2015-12-11,10,20,3
678,2015-12-12,4,11,0
679,2015-12-13,8,6,2
680,2015-12-14,10,17,3
681,2015-12-15,8,7,2
682,2015-12-17,0,2,0
683,2015-12-19,2,3,2
684,2015-12-20,4,4,0
685,2015-12-21,14,16,3
686,2015-12-22,7,28,4
687,2015-12-23,15,10,6
688,2015-12-24,8,5,5
689,2015-12-25,7,2,0
690,2015-12-26,8,5,2
691,2015-12-27,7,4,1
692,2015-12-28,10,16,1
693,2015-12-29,9,14,2
694,2015-12-30,12,14,5
695,2015-12-31,9,13,3
